지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),전운량(10분위)
108,서울,2020-06-01 06:00,16.7,.1,3.4,90,4
108,서울,2020-06-01 07:00,16.9,,2.3,86,8
108,서울,2020-06-01 08:00,17.8,,3.3,80,7
108,서울,2020-06-01 09:00,19.3,,2.1,73,2
108,서울,2020-06-01 10:00,20.5,,3.4,62,1
108,서울,2020-06-01 11:00,22.1,,3.6,52,1
108,서울,2020-06-01 12:00,23.1,,4,49,2
108,서울,2020-06-01 13:00,23.1,,5.1,42,1
108,서울,2020-06-01 14:00,23.6,,5.1,39,2
108,서울,2020-06-01 15:00,23.8,,5.5,40,2
108,서울,2020-06-01 16:00,24.4,,3,39,3
108,서울,2020-06-01 17:00,23.6,,4.4,41,1
108,서울,2020-06-01 18:00,22.7,,4.1,42,0
108,서울,2020-06-01 19:00,21.3,,4.2,44,0
108,서울,2020-06-01 20:00,19.8,,2.5,51,0
108,서울,2020-06-01 21:00,18.6,,2.5,55,4
108,서울,2020-06-01 22:00,17.9,,2,62,2
108,서울,2020-06-01 23:00,17.2,,2,68,6
108,서울,2020-06-02 00:00,16.6,,1.6,74,6
108,서울,2020-06-02 01:00,16.2,,.8,77,9
108,서울,2020-06-02 02:00,15.9,,1.1,78,8
108,서울,2020-06-02 03:00,15.7,,.4,78,8
108,서울,2020-06-02 04:00,15.5,,.9,79,8
108,서울,2020-06-02 05:00,14.8,,1.3,79,6
108,서울,2020-06-02 06:00,15,,2.2,79,9
108,서울,2020-06-02 07:00,15.5,,1.4,77,9
108,서울,2020-06-02 08:00,16,,2.2,75,10
108,서울,2020-06-02 09:00,16.9,,2.5,71,10
108,서울,2020-06-02 10:00,17.3,,2.5,65,10
108,서울,2020-06-02 11:00,17.5,0,2.6,70,10
108,서울,2020-06-02 12:00,16.3,1.9,2.9,80,10
108,서울,2020-06-02 13:00,17.5,,2.2,68,10
108,서울,2020-06-02 14:00,20.4,,3.1,51,9
108,서울,2020-06-02 15:00,20.9,,2.2,48,9
108,서울,2020-06-02 16:00,21.7,,2.5,46,9
108,서울,2020-06-02 17:00,21.2,,3.3,55,9
108,서울,2020-06-02 18:00,20.6,0,2.4,58,10
108,서울,2020-06-02 19:00,20.3,,2.9,61,9
108,서울,2020-06-02 20:00,19.9,,3.1,65,6
108,서울,2020-06-02 21:00,19.6,,2.7,70,8
108,서울,2020-06-02 22:00,19.3,,2.2,74,9
108,서울,2020-06-02 23:00,19,,1.7,79,9
108,서울,2020-06-03 00:00,18.4,.1,1.7,84,10
108,서울,2020-06-03 01:00,18.3,,2,86,8
108,서울,2020-06-03 02:00,18.2,,1.8,89,7
108,서울,2020-06-03 03:00,18.2,,1.3,89,10
108,서울,2020-06-03 04:00,18.1,,1.5,87,10
108,서울,2020-06-03 05:00,18.1,,1.3,88,8
108,서울,2020-06-03 06:00,17.6,,.4,89,6
108,서울,2020-06-03 07:00,18.3,,1.8,88,6
108,서울,2020-06-03 08:00,19.7,,2,82,6
108,서울,2020-06-03 09:00,20.8,,.8,76,7
108,서울,2020-06-03 10:00,22,,1.4,73,8
108,서울,2020-06-03 11:00,23.1,,2.2,68,7
108,서울,2020-06-03 12:00,24.4,,2.6,58,6
108,서울,2020-06-03 13:00,26.1,,2.2,55,3
108,서울,2020-06-03 14:00,26.8,,2.7,50,1
108,서울,2020-06-03 15:00,27.9,,2.5,52,0
108,서울,2020-06-03 16:00,28.2,,2.8,48,0
108,서울,2020-06-03 17:00,28.1,,3.8,49,0
108,서울,2020-06-03 18:00,26.1,,4.5,60,0
108,서울,2020-06-03 19:00,23.8,,4.8,68,0
108,서울,2020-06-03 20:00,21,,5.2,80,6
108,서울,2020-06-03 21:00,20.5,,3.1,81,8
108,서울,2020-06-03 22:00,20.4,,2.4,81,6
108,서울,2020-06-03 23:00,20.1,,2.2,81,7
108,서울,2020-06-04 00:00,20.1,,1.5,81,9
108,서울,2020-06-04 01:00,20,,2.2,83,7
108,서울,2020-06-04 02:00,20.1,,1,84,9
108,서울,2020-06-04 03:00,20.4,0,2.6,86,10
108,서울,2020-06-04 04:00,20.5,0,2,88,10
