날짜,시간,상품명,방송일시,노출(분)
2020-01-01,00:20,삼성화재,2020-01-01 00:20:00,60.0
2020-01-01,01:20,예다함상조,2020-01-01 01:20:00,40.0
2020-01-01,02:00,예다함상조,2020-01-01 02:00:00,20.0
2020-01-01,02:20,이경제황금관절,2020-01-01 02:20:00,60.0
2020-01-01,03:20,엔웰스마스크,2020-01-01 03:20:00,60.0
2020-01-01,04:20,박경호녹용활력,2020-01-01 04:20:00,60.0
2020-01-01,05:20,삼성화재,2020-01-01 05:20:00,60.0
2020-01-01,06:20,굿프렌드,2020-01-01 06:20:00,60.0
2020-01-01,07:20,마르엘라로사티,2020-01-01 07:20:00,60.0
2020-01-01,08:20,오델로,2020-01-01 08:20:00,60.0
2020-01-01,09:20,보닌남성기초,2020-01-01 09:20:00,60.0
2020-01-01,10:20,헤스티지 재킷,2020-01-01 10:20:00,60.0
2020-01-01,11:20,코치,2020-01-01 11:20:00,60.0
2020-01-01,12:20,DB운전자보험,2020-01-01 12:20:00,60.0
2020-01-01,13:20,레이프릴속옷,2020-01-01 13:20:00,60.0
2020-01-01,14:20,참존,2020-01-01 14:20:00,60.0
2020-01-01,15:20,램프쿡,2020-01-01 15:20:00,60.0
2020-01-01,16:20,도가니탕,2020-01-01 16:20:00,60.0
2020-01-01,17:20,손질갑오징어,2020-01-01 17:20:00,60.0
2020-01-01,18:20,쿠첸전기밥솥,2020-01-01 18:20:00,60.0
2020-01-01,19:20,푸마드로즈,2020-01-01 19:20:00,60.0
2020-01-01,20:20,현대정수기,2020-01-01 20:20:00,60.0
2020-01-01,21:20,LGTV,2020-01-01 21:20:00,60.0
2020-01-01,22:20,장수흙침대,2020-01-01 22:20:00,60.0
2020-01-01,23:20,비버리힐스폴로 남성기초세트,2020-01-01 23:20:00,60.0
2020-01-02,00:20,DB운전자보험2부,2020-01-02 00:20:00,60.0
2020-01-02,01:20,헤스티지패션,2020-01-02 01:20:00,40.0
2020-01-02,02:00,헤스티지패션,2020-01-02 02:00:00,20.0
2020-01-02,02:20,관절팔팔,2020-01-02 02:20:00,60.0
2020-01-02,03:20,예다함상조,2020-01-02 03:20:00,60.0
2020-01-02,04:20,박경호녹용활력,2020-01-02 04:20:00,60.0
2020-01-02,05:20,이경제황금관절,2020-01-02 05:20:00,60.0
2020-01-02,06:20,아이러브허브,2020-01-02 06:20:00,60.0
2020-01-02,07:20,브루마스,2020-01-02 07:20:00,60.0
2020-01-02,08:20,네오젠,2020-01-02 08:20:00,60.0
2020-01-02,09:20,IH가마솥,2020-01-02 09:20:00,60.0
2020-01-02,10:20,영산포 숙성 홍어회,2020-01-02 10:20:00,60.0
2020-01-02,11:20,오세득갈비탕,2020-01-02 11:20:00,60.0
2020-01-02,12:20,암블로슈즈,2020-01-02 12:20:00,60.0
2020-01-02,13:20,음식물처리기,2020-01-02 13:20:00,60.0
2020-01-02,14:20,조이앤피스,2020-01-02 14:20:00,60.0
2020-01-02,15:20,석류즙,2020-01-02 15:20:00,60.0
2020-01-02,16:20,통영굴,2020-01-02 16:20:00,60.0
2020-01-02,17:20,고창 고구마,2020-01-02 17:20:00,60.0
2020-01-02,18:20,안동간고등어,2020-01-02 18:20:00,60.0
2020-01-02,19:20,노비타비데,2020-01-02 19:20:00,60.0
2020-01-02,20:20,LG통돌이세탁기,2020-01-02 20:20:00,60.0
2020-01-02,21:20,비버리힐스폴로 남성기초세트,2020-01-02 21:20:00,60.0
2020-01-02,22:20,쿠쿠 압력밥솥,2020-01-02 22:20:00,60.0
2020-01-02,23:20,선일금고,2020-01-02 23:20:00,60.0
2020-01-03,00:20,프리드라이프,2020-01-03 00:20:00,60.0
2020-01-03,01:20,네오젠마스카라,2020-01-03 01:20:00,40.0
2020-01-03,02:00,네오젠,2020-01-03 02:00:00,20.0
2020-01-03,02:20,팔레오,2020-01-03 02:20:00,60.0
2020-01-03,03:20,관절팔팔,2020-01-03 03:20:00,60.0
2020-01-03,04:20,캐리어공기청정기,2020-01-03 04:20:00,60.0
2020-01-03,05:20,프로닥스시트세제,2020-01-03 05:20:00,60.0
2020-01-03,06:20,제니하우스염색제,2020-01-03 06:20:00,60.0
2020-01-03,07:20,크리스티나앤코,2020-01-03 07:20:00,60.0
2020-01-03,08:20,클란츠멀티쿡,2020-01-03 08:20:00,60.0
2020-01-03,09:20,참존,2020-01-03 09:20:00,60.0
2020-01-03,10:20,엔웰스마스크,2020-01-03 10:20:00,60.0
2020-01-03,11:20,에트로,2020-01-03 11:20:00,60.0
2020-01-03,12:20,현대해상운전자보험,2020-01-03 12:20:00,60.0
2020-01-03,13:20,레이프릴속옷,2020-01-03 13:20:00,60.0
2020-01-03,14:20,베트남망고,2020-01-03 14:20:00,60.0
2020-01-03,15:20,브루마스,2020-01-03 15:20:00,60.0
2020-01-03,16:20,대동모피,2020-01-03 16:20:00,60.0
2020-01-03,17:20,램프쿡,2020-01-03 17:20:00,60.0
2020-01-03,18:20,푸마드로즈,2020-01-03 18:20:00,60.0
2020-01-03,19:20,니봇로봇청소기,2020-01-03 19:20:00,60.0
2020-01-03,20:20,보루네오침대,2020-01-03 20:20:00,60.0
2020-01-03,21:20,LG냉장고,2020-01-03 21:20:00,60.0
2020-01-03,22:20,캐리어공기청정기,2020-01-03 22:20:00,60.0
2020-01-03,23:20,여행상품,2020-01-03 23:20:00,60.0
2020-01-04,00:20,팔로모매트리스,2020-01-04 00:20:00,60.0
2020-01-04,01:20,쥐포,2020-01-04 01:20:00,40.0
2020-01-04,02:00,쥐포,2020-01-04 02:00:00,20.0
2020-01-04,02:20,프리드라이프,2020-01-04 02:20:00,60.0
2020-01-04,03:20,프로닥스시트세제,2020-01-04 03:20:00,60.0
2020-01-04,04:20,오메가큐텐,2020-01-04 04:20:00,60.0
2020-01-04,05:20,엔웰스마스크,2020-01-04 05:20:00,60.0
2020-01-04,06:20,정관장 홍삼활력,2020-01-04 06:20:00,60.0
2020-01-04,07:20,엔엔에프 패션,2020-01-04 07:20:00,60.0
2020-01-04,08:20,네오젠,2020-01-04 08:20:00,60.0
2020-01-04,09:20,헤스티지 재킷,2020-01-04 09:20:00,60.0
2020-01-04,10:20,코치,2020-01-04 10:20:00,60.0
2020-01-04,11:20,엔웰스마스크1,2020-01-04 11:20:00,60.0
2020-01-04,12:20,안동간고등어,2020-01-04 12:20:00,60.0
2020-01-04,13:20,네오젠,2020-01-04 13:20:00,60.0
2020-01-04,14:20,현대해상운전자보험,2020-01-04 14:20:00,60.0
2020-01-04,15:20,한일믹서기,2020-01-04 15:20:00,60.0
2020-01-04,16:20,손질갑오징어,2020-01-04 16:20:00,60.0
2020-01-04,17:20,멋진밥상 흥양농협쌀,2020-01-04 17:20:00,40.0
2020-01-04,18:00,정보방송,2020-01-04 18:00:00,20.0
2020-01-04,18:20,여행상품,2020-01-04 18:20:00,60.0
2020-01-04,19:20,노비타비데,2020-01-04 19:20:00,60.0
2020-01-04,20:20,보닌남성기초,2020-01-04 20:20:00,60.0
2020-01-04,21:20,도가니탕,2020-01-04 21:20:00,60.0
2020-01-04,22:20,영산포 숙성 홍어회,2020-01-04 22:20:00,60.0
2020-01-04,23:20,여행상품2부,2020-01-04 23:20:00,60.0
2020-01-05,00:20,제니하우스염색제,2020-01-05 00:20:00,60.0
2020-01-05,01:20,네오젠마스카라,2020-01-05 01:20:00,40.0
2020-01-05,02:00,네오젠마스카라,2020-01-05 02:00:00,20.0
2020-01-05,02:20,캐리어공기청정기,2020-01-05 02:20:00,60.0
2020-01-05,03:20,팔로모매트리스,2020-01-05 03:20:00,60.0
2020-01-05,04:20,액티브코큐텐,2020-01-05 04:20:00,60.0
