방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,브랜드,중분류,소분류,방송날짜,방송월,방송일,방송요일,방송시간,평일/주말,공휴일,계절,방송회차,무이자/일시불,프라임시간,평균기온(°C),강수량(mm),풍속(m/s),습도(%),전운량(10분위),체감온도,비옴,뉴스건수,취급액
2020-06-01 06:20:00,20.0,100650,201971,잭필드 남성  반팔셔츠 4종,의류,59800,잭필드,남성의류,셔츠/남방,2020-06-01,6,1,0,06:20:00,0,0,여름,1,,0.0,16.7,0.1,2.9,94.5,6.0,16.6,0,1857.0,10300835.002633896
2020-06-01 06:40:00,20.0,100650,201971,잭필드 남성  반팔셔츠 4종,의류,59800,잭필드,남성의류,셔츠/남방,2020-06-01,6,1,0,06:40:00,0,0,여름,2,,0.0,16.7,0.1,2.9,94.5,6.0,16.6,0,1857.0,4163885.6956475275
2020-06-01 07:00:00,20.0,100650,201971,잭필드 남성  반팔셔츠 4종,의류,59800,잭필드,남성의류,셔츠/남방,2020-06-01,6,1,0,07:00:00,0,0,여름,3,,0.0,16.9,0.0,2.8,90.0,6.0,16.9,0,1857.0,5978533.971152134
2020-06-01 07:20:00,20.0,100445,202278,쿠미투니카 쿨 레이시 란쥬쉐이퍼&팬티,속옷,69900,쿠미투니카,여성속옷,팬티,2020-06-01,6,1,0,07:20:00,0,0,여름,1,,1.0,16.9,0.0,2.8,90.0,6.0,16.9,0,75.0,4386826.152064904
2020-06-01 07:40:00,20.0,100445,202278,쿠미투니카 쿨 레이시 란쥬쉐이퍼&팬티,속옷,69900,쿠미투니카,여성속옷,팬티,2020-06-01,6,1,0,07:40:00,0,0,여름,2,,1.0,16.9,0.0,2.8,90.0,6.0,16.9,0,75.0,3287761.978640715
2020-06-01 08:00:00,20.0,100445,202278,쿠미투니카 쿨 레이시 란쥬쉐이퍼&팬티,속옷,69900,쿠미투니카,여성속옷,팬티,2020-06-01,6,1,0,08:00:00,0,0,여름,3,,1.0,17.85,0.0,3.0,84.0,7.0,17.9,0,75.0,4995747.024580062
2020-06-01 08:20:00,20.0,100381,201247,바비리스 퍼펙트 볼륨스타일러,이미용,59000,바비리스,헤어/바디,헤어기기,2020-06-01,6,1,0,08:20:00,0,0,여름,1,,0.0,17.85,0.0,3.0,84.0,7.0,17.9,0,17.0,1310655.0040933012
2020-06-01 08:40:00,20.0,100381,201247,바비리스 퍼펙트 볼륨스타일러,이미용,59000,바비리스,헤어/바디,헤어기기,2020-06-01,6,1,0,08:40:00,0,0,여름,2,,0.0,17.85,0.0,3.0,84.0,7.0,17.9,0,17.0,3785728.140987031
2020-06-01 09:00:00,20.0,100381,201247,바비리스 퍼펙트 볼륨스타일러,이미용,59000,바비리스,헤어/바디,헤어기기,2020-06-01,6,1,0,09:00:00,0,0,여름,3,,0.0,19.4,0.0,2.4000000000000004,75.5,3.0,20.0,0,17.0,4335061.667251919
2020-06-01 09:20:00,20.0,100638,201956,램프쿡 자동회전냄비,주방,109000,램프쿡,주방용품/식기,냄비/압력솥,2020-06-01,6,1,0,09:20:00,0,0,여름,1,,0.0,19.4,0.0,2.4000000000000004,75.5,3.0,20.0,0,4.0,5919465.904917549
2020-06-01 09:40:00,20.0,100638,201956,램프쿡 자동회전냄비,주방,109000,램프쿡,주방용품/식기,냄비/압력솥,2020-06-01,6,1,0,09:40:00,0,0,여름,2,,0.0,19.4,0.0,2.4000000000000004,75.5,3.0,20.0,0,4.0,5754285.804564469
2020-06-01 10:00:00,20.0,100638,201956,램프쿡 자동회전냄비,주방,109000,램프쿡,주방용품/식기,냄비/압력솥,2020-06-01,6,1,0,10:00:00,0,0,여름,3,,0.0,20.6,0.0,3.3,65.0,1.5,21.2,0,4.0,8953609.357287725
2020-06-01 10:20:00,20.0,100348,201091,벨레즈온 심리스 원피스 4종 패키지,속옷,59900,벨레즈온,여성속옷,이지웨어/잠옷,2020-06-01,6,1,0,10:20:00,0,0,여름,1,,0.0,20.6,0.0,3.3,65.0,1.5,21.2,0,166.0,4928376.585038447
2020-06-01 10:40:00,20.0,100348,201091,벨레즈온 심리스 원피스 4종 패키지,속옷,59900,벨레즈온,여성속옷,이지웨어/잠옷,2020-06-01,6,1,0,10:40:00,0,0,여름,2,,0.0,20.6,0.0,3.3,65.0,1.5,21.2,0,166.0,3489400.325639366
2020-06-01 11:00:00,20.0,100348,201091,벨레즈온 심리스 원피스 4종 패키지,속옷,59900,벨레즈온,여성속옷,이지웨어/잠옷,2020-06-01,6,1,0,11:00:00,0,0,여름,3,,0.0,22.25,0.0,3.5,55.0,0.5,23.1,0,166.0,3455733.4030663576
2020-06-01 11:20:00,20.0,100012,200016,AAC 삼채포기김치 10kg,농수축,40900,기타_농수축브랜드,가공식품,김치/반찬,2020-06-01,6,1,0,11:20:00,0,0,여름,1,,1.0,22.25,0.0,3.5,55.0,0.5,23.1,0,2109.0,4177913.440865807
