방송일시,노출(분),상품명,상품군,날짜,시간,방송월,방송요일
2020-01-01 00:20:00,60.0,삼성화재,무형,2020-01-01,00:20,1,2
2020-01-01 01:20:00,40.0,예다함상조,무형,2020-01-01,01:20,1,2
2020-01-01 06:20:00,60.0,굿프렌드,생활용품,2020-01-01,06:20,1,2
2020-01-01 07:20:00,60.0,마르엘라로사티,의류,2020-01-01,07:20,1,2
2020-01-01 08:20:00,60.0,오델로,잡화,2020-01-01,08:20,1,2
2020-01-01 09:20:00,60.0,보닌남성기초,이미용,2020-01-01,09:20,1,2
2020-01-01 10:20:00,60.0,헤스티지 재킷,의류,2020-01-01,10:20,1,2
2020-01-01 11:20:00,60.0,코치,잡화,2020-01-01,11:20,1,2
2020-01-01 12:20:00,60.0,DB운전자보험,무형,2020-01-01,12:20,1,2
2020-01-01 13:20:00,60.0,레이프릴속옷,속옷,2020-01-01,13:20,1,2
2020-01-01 14:20:00,60.0,참존,이미용,2020-01-01,14:20,1,2
2020-01-01 15:20:00,60.0,램프쿡,주방,2020-01-01,15:20,1,2
2020-01-01 16:20:00,60.0,도가니탕,농수축,2020-01-01,16:20,1,2
2020-01-01 17:20:00,60.0,손질갑오징어,농수축,2020-01-01,17:20,1,2
2020-01-01 18:20:00,60.0,쿠첸전기밥솥,주방,2020-01-01,18:20,1,2
2020-01-01 19:20:00,60.0,푸마드로즈,속옷,2020-01-01,19:20,1,2
2020-01-01 20:20:00,60.0,현대정수기,무형,2020-01-01,20:20,1,2
2020-01-01 21:20:00,60.0,LGTV,가전,2020-01-01,21:20,1,2
2020-01-01 22:20:00,60.0,장수흙침대,가구,2020-01-01,22:20,1,2
2020-01-01 23:20:00,60.0,비버리힐스폴로 남성기초세트,이미용,2020-01-01,23:20,1,2
2020-01-02 00:20:00,60.0,DB운전자보험2부,무형,2020-01-02,00:20,1,3
2020-01-02 01:20:00,40.0,헤스티지패션,의류,2020-01-02,01:20,1,3
2020-01-02 06:20:00,60.0,아이러브허브,생활용품,2020-01-02,06:20,1,3
2020-01-02 07:20:00,60.0,브루마스,잡화,2020-01-02,07:20,1,3
2020-01-02 08:20:00,60.0,네오젠,이미용,2020-01-02,08:20,1,3
2020-01-02 09:20:00,60.0,IH가마솥,주방,2020-01-02,09:20,1,3
2020-01-02 10:20:00,60.0,영산포 숙성 홍어회,농수축,2020-01-02,10:20,1,3
2020-01-02 11:20:00,60.0,오세득갈비탕,농수축,2020-01-02,11:20,1,3
2020-01-02 12:20:00,60.0,암블로슈즈,잡화,2020-01-02,12:20,1,3
2020-01-02 13:20:00,60.0,음식물처리기,무형,2020-01-02,13:20,1,3
2020-01-02 14:20:00,60.0,조이앤피스,잡화,2020-01-02,14:20,1,3
2020-01-02 15:20:00,60.0,석류즙,건강기능,2020-01-02,15:20,1,3
2020-01-02 16:20:00,60.0,통영굴,농수축,2020-01-02,16:20,1,3
2020-01-02 17:20:00,60.0,고창 고구마,농수축,2020-01-02,17:20,1,3
